family,null,measure,scope,estimate,B,boot_mean,boot_bias,se,pct_lo,pct_hi,basic_lo,basic_hi,norm_lo,norm_hi,mcse_lo,mcse_hi,p_pct_2sided,p_norm_2sided,obs,null_mean,cond_sd,z_cond,z_boot,holm_pct_2sided,holm_norm_2sided
dt,N3,sil,HVA_HVA,0.005321841414026083,1000,0.00455057422450526,-0.0007712671895208235,0.007264452211445565,-0.008610780566967869,0.019336623460543247,-0.00869294063249108,0.019254463395020037,-0.008916484920407225,0.01956016774845939,0.000440826695375548,0.0006561474235543634,0.542,0.46381051674974516,,,,,0.7325867469595593,1.0,1.0
dt,N3,sil,V1_HVA,0.014507962167031235,1000,0.013834037168135483,-0.0006739249988957519,0.011582829731723643,-0.008212874379500006,0.03805365453985722,-0.00903773020579475,0.03722879871356248,-0.008194384107147103,0.03721030844120957,0.000968203667946655,0.0014087815560418601,0.218,0.21037301731006242,,,,,1.2525403984223382,1.0,1.0
dt,N3,sil,HVA_V1,0.01029116797417225,1000,0.009617922114922225,-0.0006732458592500247,0.0067114119832167845,-0.0023327797646749806,0.02224635097709021,-0.0016640150287457085,0.02291511571301948,-0.002863199512932648,0.02344553546127715,0.0004175444952600552,0.0005790342980680574,0.128,0.12518140726586507,,,,,1.5333834370334223,1.0,1.0
dt,N3,Fsil,all,0.0010829680538875911,1000,0.0007684885936809115,-0.0003144794602066796,0.0007189169765282545,-0.0005690262228627859,0.002258541418120963,-9.26053103457807e-05,0.002734962330637968,-0.00032610922010778767,0.00249204532788297,4.926730549230355e-05,7.06073582886314e-05,0.274,0.13196754677611044,0.08429365104783017,0.08321068299394259,,,1.5063882050989914,,
dt,N3,Fsil,V1_V1,-0.00010499968366007048,1000,-0.0002579310935241513,-0.0001529314098640808,0.0007404772474616889,-0.0016900103562731302,0.0012645192410302582,-0.001474518608350399,0.0014800109889529893,-0.0015563350886849806,0.0013463357213648395,5.9047107022884626e-05,7.245556154631244e-05,0.688,0.8872379734339483,,,,,-0.14180001346429352,,
dt,N3,Fsil,HVA_HVA,0.0007200703506304641,1000,0.0003884137518038121,-0.00033165659882665195,0.0014723077876737489,-0.0022820293125595872,0.0035892397646993426,-0.0021490990634384145,0.0037221700138205154,-0.0021656529132100836,0.0036057936144710118,0.0001044899148223131,0.00014930256637365617,0.824,0.624787917494955,,,,,0.48907596404701326,,
dt,N3,Fsil,V1_HVA,0.003698978332947626,1000,0.003202008547209955,-0.000496969785737671,0.002567722643370387,-0.0018161611275871342,0.00848076231743362,-0.0010828056515383684,0.009214117793482387,-0.001333758048058333,0.008731714713953585,0.0002030504674832415,0.00021454799288216005,0.202,0.14970684772345128,,,,,1.4405677118196671,,
dt,N3,Fsil,HVA_V1,0.0015034253338749102,1000,0.00113334059581242,-0.00037008473806249016,0.0013214790165134531,-0.001361641238487644,0.003772393079958216,-0.0007655424122083956,0.004368491906237464,-0.001086673538491458,0.004093524206241279,0.0001019584683717812,0.00013370711217135353,0.39,0.2552525199027992,,,,,1.1376838489963301,,
iv,N0,viv,all,0.009003880763640369,1000,0.008865097421403598,-0.00013878334223677014,0.0038957727793238923,0.0014782924874341505,0.016612967058473396,0.0013947944688073415,0.016529469039846586,0.0013681661161655395,0.016639595411115198,0.00030084839431552776,0.0002698833313982365,0.022,0.020822225381200134,0.06879060929179234,0.05978672852815198,0.0017442268926061038,5.172388684997769,2.3111924831516952,,
iv,N0,viv,V1_V1,0.00053649748722512,1000,0.00032802471548925574,-0.00020847277173586425,0.004595352636308041,-0.007890964878105802,0.00996590967456636,-0.00889291470011612,0.008963959852556042,-0.00847039367993864,0.00954338865438888,0.0002929956136262433,0.0004036765361523307,0.998,0.9070598798487786,,,,,0.11674783845449307,1.0,1.0
iv,N0,viv,HVA_HVA,0.010432683172448136,1000,0.009851991734491401,-0.0005806914379567346,0.006824653773405607,-0.0022915825626127688,0.024294220457993683,-0.003428854113097412,0.02315694890750904,-0.0029436382234268536,0.023809004568323126,0.0003503531996119214,0.0006820633450227928,0.152,0.1263448306266862,,,,,1.5286758154827342,0.608,0.5342475109828109
