data,role,family,null,measure,scope,estimate,B,cond_sd,z_cond,boot_mean_re_rule,boot_mean_fx_rule,se_boot,z_boot,p_one_sided,p_two_sided,pct_lo,pct_hi,norm_lo,norm_hi,boot_bias,decision_z>=1.645,holm
new1822,secondary,iv,N3,viv,V1_HVA,0.0015298992785670112,200,,,,,0.0038277501836065497,0.39968629225576124,0.3446937948315496,0.6893875896630992,-0.0063561935481785915,0.009684152109163043,-0.005972491081301826,0.009032289638435848,-0.0008521795749522037,,
new1822,secondary,iv,N3,viv,HVA_V1,-0.0012933879874697449,200,,,,,0.010124608167837293,-0.12774696719409184,0.5508253899418447,0.8983492201163106,-0.020518680138702592,0.017818456875333295,-0.021137619996430837,0.018550844021491347,-0.0010419036497559156,,
new1822,comparator,dt,N0,sil,all,0.004374160001219107,0,0.0005574725197138831,7.810274223110794,,,,,,,,,,,,,
new1822,comparator,dt,N0,sil,V1_V1,0.004262172397909082,0,,,,,,,,,,,,,,,
new1822,comparator,dt,N0,sil,HVA_HVA,0.007798683191664155,0,,,,,,,,,,,,,,,
new1822,comparator,dt,N0,sil,V1_HVA,0.004340414108404412,0,,,,,,,,,,,,,,,
new1822,comparator,dt,N0,sil,HVA_V1,-0.0007996738160051693,0,,,,,,,,,,,,,,,
new1822,comparator,iv,N0,viv,all,0.003994999629777676,0,0.0005668765392129752,7.149863023819394,,,,,,,,,,,,,
new1822,comparator,iv,N0,viv,V1_V1,0.003913000844560784,0,,,,,,,,,,,,,,,
new1822,comparator,iv,N0,viv,HVA_HVA,0.006994417814150225,0,,,,,,,,,,,,,,,
new1822,comparator,iv,N0,viv,V1_HVA,0.003576089217808927,0,,,,,,,,,,,,,,,
new1822,comparator,iv,N0,viv,HVA_V1,0.0024755463634593966,0,,,,,,,,,,,,,,,
