# a_re a_im b_re b_im | D on the segment ball | D(a)
2419/760 38/5 14423/4560 38/5 | [5.6e+2 +/- 7.39] + [-9e+2 +/- 11.2]j | [558.4 +/- 0.0932] + [-8.98e+2 +/- 0.248]j
14423/4560 38/5 3583/1140 38/5 | [5.6e+2 +/- 8.90] + [-8.9e+2 +/- 8.62]j | [5.61e+2 +/- 0.330] + [-8.94e+2 +/- 0.375]j
3583/1140 38/5 4747/1520 38/5 | [6e+2 +/- 42.8] + [-8.9e+2 +/- 9.46]j | [5.63e+2 +/- 0.173] + [-8.90e+2 +/- 0.502]j
4747/1520 38/5 1415/456 38/5 | [6e+2 +/- 40.5] + [-9e+2 +/- 23.6]j | [5.65e+2 +/- 0.496] + [-8.85e+2 +/- 0.541]j
1415/456 38/5 14059/4560 38/5 | [5.7e+2 +/- 8.11] + [-8.8e+2 +/- 7.72]j | [5.68e+2 +/- 0.359] + [-8.81e+2 +/- 0.413]j
14059/4560 38/5 291/95 38/5 | [5.7e+2 +/- 8.16] + [-9e+2 +/- 31.9]j | [5.70e+2 +/- 0.110] + [-877.2 +/- 0.0855]j
291/95 38/5 13877/4560 38/5 | [6e+2 +/- 33.6] + [-8.7e+2 +/- 8.00]j | [5.72e+2 +/- 0.400] + [-8.73e+2 +/- 0.159]j
13877/4560 38/5 6893/2280 38/5 | [6e+2 +/- 31.3] + [-9e+2 +/- 40.2]j | [574.6 +/- 0.0866] + [-8.69e+2 +/- 0.138]j
6893/2280 38/5 913/304 38/5 | [5.8e+2 +/- 9.00] + [-8.6e+2 +/- 9.75]j | [5.77e+2 +/- 0.218] + [-8.65e+2 +/- 0.265]j
913/304 38/5 179/60 38/5 | [5.8e+2 +/- 7.24] + [-8.6e+2 +/- 8.37]j | [5.79e+2 +/- 0.207] + [-860.7 +/- 0.0915]j
179/60 38/5 13513/4560 38/5 | [5.8e+2 +/- 9.49] + [-9e+2 +/- 52.5]j | [5.81e+2 +/- 0.454] + [-8.57e+2 +/- 0.519]j
13513/4560 38/5 2237/760 38/5 | [6e+2 +/- 22.3] + [-8.5e+2 +/- 7.37]j | [583.6 +/- 0.0895] + [-8.52e+2 +/- 0.523]j
2237/760 38/5 13331/4560 38/5 | [6e+2 +/- 20.1] + [-8e+2 +/- 53.3]j | [5.86e+2 +/- 0.251] + [-8.48e+2 +/- 0.395]j
13331/4560 38/5 331/114 38/5 | [5.9e+2 +/- 7.86] + [-8.4e+2 +/- 9.13]j | [5.88e+2 +/- 0.130] + [-8.44e+2 +/- 0.268]j
331/114 38/5 4383/1520 38/5 | [5.9e+2 +/- 8.35] + [-8e+2 +/- 45.0]j | [5.90e+2 +/- 0.333] + [-8.40e+2 +/- 0.141]j
4383/1520 38/5 6529/2280 38/5 | [6e+2 +/- 13.5] + [-8e+2 +/- 40.9]j | [5.92e+2 +/- 0.526] + [-8.36e+2 +/- 0.153]j
6529/2280 38/5 12967/4560 38/5 | [6e+2 +/- 11.4] + [-8.3e+2 +/- 7.27]j | [5.95e+2 +/- 0.458] + [-831.8 +/- 0.0870]j
12967/4560 38/5 1073/380 38/5 | [6e+2 +/- 9.14] + [-8e+2 +/- 32.7]j | [596.8 +/- 0.0860] + [-8.28e+2 +/- 0.406]j
1073/380 38/5 2557/912 38/5 | [6.0e+2 +/- 7.05] + [-8.2e+2 +/- 8.51]j | [5.99e+2 +/- 0.126] + [-8.24e+2 +/- 0.533]j
2557/912 38/5 6347/2280 38/5 | [6e+2 +/- 9.19] + [-8e+2 +/- 24.4]j | [601.1 +/- 0.0866] + [-8.19e+2 +/- 0.507]j
6347/2280 38/5 4201/1520 38/5 | [6e+2 +/- 11.4] + [-8e+2 +/- 20.3]j | [6.03e+2 +/- 0.325] + [-815.3 +/- 0.0855]j
4201/1520 38/5 782/285 38/5 | [6e+2 +/- 13.5] + [-8.1e+2 +/- 7.92]j | [6.05e+2 +/- 0.452] + [-8.11e+2 +/- 0.253]j
782/285 38/5 12421/4560 38/5 | [6.1e+2 +/- 8.48] + [-8e+2 +/- 12.0]j | [6.07e+2 +/- 0.569] + [-8.07e+2 +/- 0.127]j
12421/4560 38/5 411/152 38/5 | [6.1e+2 +/- 7.66] + [-8.0e+2 +/- 7.88]j | [609.6 +/- 0.0883] + [-8.03e+2 +/- 0.165]j
411/152 38/5 12239/4560 38/5 | [6e+2 +/- 19.8] + [-8e+2 +/- 10.3]j | [6.12e+2 +/- 0.394] + [-798.8 +/- 0.0911]j
12239/4560 38/5 3037/1140 38/5 | [6e+2 +/- 21.9] + [-8e+2 +/- 14.5]j | [6.14e+2 +/- 0.310] + [-7.95e+2 +/- 0.418]j
3037/1140 38/5 4019/1520 38/5 | [6e+2 +/- 23.9] + [-7.9e+2 +/- 8.55]j | [6.16e+2 +/- 0.237] + [-7.91e+2 +/- 0.544]j
4019/1520 38/5 5983/2280 38/5 | [6.2e+2 +/- 8.10] + [-8e+2 +/- 22.7]j | [617.9 +/- 0.0868] + [-7.86e+2 +/- 0.494]j
5983/2280 38/5 125/48 38/5 | [6.2e+2 +/- 8.01] + [-7.8e+2 +/- 7.25]j | [6.20e+2 +/- 0.124] + [-7.82e+2 +/- 0.368]j
125/48 38/5 491/190 38/5 | [6e+2 +/- 30.1] + [-8e+2 +/- 31.0]j | [622.0 +/- 0.0827] + [-7.78e+2 +/- 0.241]j
