# a_re a_im b_re b_im | D on the segment ball | D(a)
9/2 51/50 9/2 26/25 | [-3.9e+2 +/- 6.65] + [-1.6e+2 +/- 5.79]j | [-392.5 +/- 0.0569] + [-157.1 +/- 0.0669]j
9/2 26/25 9/2 53/50 | [-3.9e+2 +/- 6.10] + [-1.6e+2 +/- 6.13]j | [-391.9 +/- 0.0949] + [-160.2 +/- 0.0868]j
9/2 53/50 9/2 27/25 | [-3.9e+2 +/- 5.54] + [-1.6e+2 +/- 9.23]j | [-391.4 +/- 0.0769] + [-163.2 +/- 0.0840]j
9/2 27/25 9/2 11/10 | [-3.9e+2 +/- 4.97] + [-1.7e+2 +/- 6.61]j | [-390.8 +/- 0.0610] + [-166.3 +/- 0.0646]j
9/2 11/10 9/2 28/25 | [-3.9e+2 +/- 4.60] + [-1.7e+2 +/- 5.43]j | [-390.2 +/- 0.0560] + [-169.4 +/- 0.0462]j
9/2 28/25 9/2 57/50 | [-3.9e+2 +/- 5.23] + [-1.7e+2 +/- 8.52]j | [-389.6 +/- 0.0619] + [-172.5 +/- 0.0660]j
9/2 57/50 9/2 29/25 | [-3.9e+2 +/- 5.87] + [-1.8e+2 +/- 7.43]j | [-389.0 +/- 0.0787] + [-175.6 +/- 0.0856]j
9/2 29/25 9/2 59/50 | [-3.9e+2 +/- 6.52] + [-1.8e+2 +/- 4.73]j | [-3.88e+2 +/- 0.395] + [-178.6 +/- 0.0875]j
9/2 59/50 9/2 6/5 | [-3.9e+2 +/- 7.18] + [-1.8e+2 +/- 7.83]j | [-387.7 +/- 0.0559] + [-181.7 +/- 0.0683]j
9/2 6/5 9/2 61/50 | [-3.9e+2 +/- 7.86] + [-1.9e+2 +/- 8.24]j | [-3.87e+2 +/- 0.107] + [-184.8 +/- 0.0491]j
9/2 61/50 9/2 31/25 | [-3.9e+2 +/- 8.54] + [-1.9e+2 +/- 5.18]j | [-386.4 +/- 0.0549] + [-187.9 +/- 0.0644]j
9/2 31/25 9/2 63/50 | [-3.9e+2 +/- 9.24] + [-1.9e+2 +/- 7.12]j | [-385.7 +/- 0.0756] + [-191.0 +/- 0.0840]j
