# a_re a_im b_re b_im | D on the segment ball | D(a)
9/2 32/5 9/2 321/50 | [1.5e+2 +/- 8.70] + [-9.9e+2 +/- 8.76]j | [150.9 +/- 0.0914] + [-9.86e+2 +/- 0.324]j
9/2 321/50 9/2 161/25 | [2e+2 +/- 50.0] + [-9.9e+2 +/- 6.44]j | [1.54e+2 +/- 0.468] + [-9.89e+2 +/- 0.247]j
9/2 161/25 9/2 323/50 | [1.6e+2 +/- 6.43] + [-1e+3 +/- 12.7]j | [1.58e+2 +/- 0.202] + [-9.92e+2 +/- 0.170]j
9/2 323/50 9/2 162/25 | [2e+2 +/- 43.0] + [-1e+3 +/- 9.54]j | [161.4 +/- 0.0905] + [-995.0 +/- 0.0928]j
9/2 162/25 9/2 13/2 | [2e+2 +/- 39.4] + [-1.0e+3 +/- 6.47]j | [1.65e+2 +/- 0.169] + [-9.98e+2 +/- 0.155]j
9/2 13/2 9/2 163/25 | [1.7e+2 +/- 6.31] + [-1.00e+3 +/- 8.77]j | [1.68e+2 +/- 0.536] + [-1.001e+3 +/- 0.232]j
9/2 163/25 9/2 327/50 | [2e+2 +/- 32.4] + [-1.0e+3 +/- 11.9]j | [172.0 +/- 0.0914] + [-1.004e+3 +/- 0.310]j
9/2 327/50 9/2 164/25 | [1.8e+2 +/- 8.77] + [-1.01e+3 +/- 7.26]j | [1.76e+2 +/- 0.537] + [-1007.3 +/- 0.0863]j
9/2 164/25 9/2 329/50 | [1.8e+2 +/- 7.01] + [-1.01e+3 +/- 8.02]j | [1.79e+2 +/- 0.201] + [-1.010e+3 +/- 0.464]j
9/2 329/50 9/2 33/5 | [2e+2 +/- 21.7] + [-1.0e+3 +/- 21.2]j | [182.7 +/- 0.0941] + [-1.013e+3 +/- 0.541]j
9/2 33/5 9/2 331/50 | [1.9e+2 +/- 8.05] + [-1.02e+3 +/- 8.06]j | [1.86e+2 +/- 0.366] + [-1.017e+3 +/- 0.555]j
9/2 331/50 9/2 166/25 | [1.9e+2 +/- 7.82] + [-1.02e+3 +/- 7.29]j | [1.90e+2 +/- 0.208] + [-1019.6 +/- 0.0944]j
9/2 166/25 9/2 333/50 | [2e+2 +/- 10.9] + [-1.0e+3 +/- 30.4]j | [1.93e+2 +/- 0.575] + [-1.023e+3 +/- 0.402]j
9/2 333/50 9/2 167/25 | [2.0e+2 +/- 7.25] + [-1.03e+3 +/- 8.87]j | [197.1 +/- 0.0946] + [-1.026e+3 +/- 0.325]j
9/2 167/25 9/2 67/10 | [2.0e+2 +/- 8.74] + [-1.03e+3 +/- 6.56]j | [2.01e+2 +/- 0.348] + [-1.029e+3 +/- 0.249]j
9/2 67/10 9/2 168/25 | [2e+2 +/- 12.4] + [-1.0e+3 +/- 39.7]j | [2.04e+2 +/- 0.469] + [-1.032e+3 +/- 0.172]j
9/2 168/25 9/2 337/50 | [2.1e+2 +/- 6.34] + [-1.0e+3 +/- 42.8]j | [2.08e+2 +/- 0.122] + [-1035.0 +/- 0.0951]j
9/2 337/50 9/2 169/25 | [2e+2 +/- 19.8] + [-1.04e+3 +/- 6.62]j | [211.7 +/- 0.0880] + [-1.038e+3 +/- 0.156]j
9/2 169/25 9/2 339/50 | [2.2e+2 +/- 9.03] + [-1.04e+3 +/- 8.92]j | [2.15e+2 +/- 0.461] + [-1.041e+3 +/- 0.233]j
9/2 339/50 9/2 34/5 | [2.2e+2 +/- 7.16] + [-1.0e+3 +/- 52.1]j | [2.19e+2 +/- 0.147] + [-1.044e+3 +/- 0.309]j
9/2 34/5 9/2 341/50 | [2e+2 +/- 30.9] + [-1.05e+3 +/- 7.43]j | [2.23e+2 +/- 0.331] + [-1047.3 +/- 0.0894]j
9/2 341/50 9/2 171/25 | [2.3e+2 +/- 7.96] + [-1.05e+3 +/- 8.19]j | [2.26e+2 +/- 0.552] + [-1.050e+3 +/- 0.463]j
9/2 171/25 9/2 343/50 | [2.3e+2 +/- 8.34] + [-1.1e+3 +/- 51.4]j | [2.30e+2 +/- 0.271] + [-1.053e+3 +/- 0.539]j
9/2 343/50 9/2 172/25 | [2e+2 +/- 42.1] + [-1.06e+3 +/- 8.24]j | [2.34e+2 +/- 0.176] + [-1.057e+3 +/- 0.561]j
9/2 172/25 9/2 69/10 | [2.4e+2 +/- 6.80] + [-1.06e+3 +/- 7.46]j | [2.38e+2 +/- 0.435] + [-1059.6 +/- 0.0917]j
9/2 69/10 9/2 173/25 | [2e+2 +/- 49.7] + [-1.1e+3 +/- 42.2]j | [241.4 +/- 0.0923] + [-1.063e+3 +/- 0.409]j
9/2 173/25 9/2 347/50 | [2.5e+2 +/- 9.30] + [-1.07e+3 +/- 9.06]j | [2.45e+2 +/- 0.255] + [-1.066e+3 +/- 0.332]j
9/2 347/50 9/2 174/25 | [2.5e+2 +/- 7.19] + [-1.07e+3 +/- 6.73]j | [2.49e+2 +/- 0.149] + [-1.069e+3 +/- 0.256]j
9/2 174/25 9/2 349/50 | [3e+2 +/- 51.8] + [-1.1e+3 +/- 33.0]j | [2.53e+2 +/- 0.365] + [-1071.9 +/- 0.0973]j
9/2 349/50 9/2 7 | [2.6e+2 +/- 7.97] + [-1.1e+3 +/- 29.9]j | [2.57e+2 +/- 0.570] + [-1.075e+3 +/- 0.104]j
9/2 7 9/2 351/50 | [2.6e+2 +/- 8.64] + [-1.08e+3 +/- 6.81]j | [2.60e+2 +/- 0.414] + [-1.078e+3 +/- 0.150]j
9/2 351/50 9/2 176/25 | [3e+2 +/- 40.4] + [-1.08e+3 +/- 9.09]j | [2.64e+2 +/- 0.231] + [-1.081e+3 +/- 0.227]j
9/2 176/25 9/2 353/50 | [2.7e+2 +/- 6.55] + [-1.1e+3 +/- 20.7]j | [2.68e+2 +/- 0.120] + [-1.084e+3 +/- 0.303]j
9/2 353/50 9/2 177/25 | [3e+2 +/- 32.8] + [-1.09e+3 +/- 7.62]j | [271.8 +/- 0.0971] + [-1.087e+3 +/- 0.379]j
9/2 177/25 9/2 71/10 | [2.8e+2 +/- 8.87] + [-1.09e+3 +/- 8.36]j | [2.76e+2 +/- 0.432] + [-1.090e+3 +/- 0.455]j
9/2 71/10 9/2 178/25 | [2.8e+2 +/- 7.92] + [-1.1e+3 +/- 11.5]j | [2.80e+2 +/- 0.571] + [-1.093e+3 +/- 0.531]j
9/2 178/25 9/2 357/50 | [3e+2 +/- 21.2] + [-1.10e+3 +/- 8.43]j | [2.83e+2 +/- 0.479] + [-1.097e+3 +/- 0.573]j
9/2 357/50 9/2 179/25 | [2.9e+2 +/- 7.28] + [-1.10e+3 +/- 7.63]j | [2.87e+2 +/- 0.362] + [-1099.6 +/- 0.0964]j
9/2 179/25 9/2 359/50 | [3e+2 +/- 13.4] + [-1.1e+3 +/- 10.8]j | [2.91e+2 +/- 0.255] + [-1.103e+3 +/- 0.421]j
9/2 359/50 9/2 36/5 | [3.0e+2 +/- 9.50] + [-1.11e+3 +/- 9.24]j | [2.95e+2 +/- 0.159] + [-1.106e+3 +/- 0.345]j
9/2 36/5 9/2 361/50 | [3.0e+2 +/- 7.48] + [-1.11e+3 +/- 6.90]j | [2.99e+2 +/- 0.106] + [-1.109e+3 +/- 0.270]j
9/2 361/50 9/2 181/25 | [3e+2 +/- 11.5] + [-1.1e+3 +/- 20.0]j | [3.03e+2 +/- 0.180] + [-1.112e+3 +/- 0.194]j
9/2 181/25 9/2 363/50 | [3.1e+2 +/- 7.75] + [-1.1e+3 +/- 23.1]j | [3.07e+2 +/- 0.243] + [-1.115e+3 +/- 0.118]j
9/2 363/50 9/2 182/25 | [3.1e+2 +/- 9.35] + [-1.12e+3 +/- 6.99]j | [3.11e+2 +/- 0.295] + [-1.118e+3 +/- 0.139]j
9/2 182/25 9/2 73/10 | [3e+2 +/- 23.4] + [-1.12e+3 +/- 9.25]j | [3.15e+2 +/- 0.337] + [-1.121e+3 +/- 0.215]j
9/2 73/10 9/2 183/25 | [3.2e+2 +/- 7.31] + [-1.1e+3 +/- 32.4]j | [3.19e+2 +/- 0.367] + [-1.124e+3 +/- 0.291]j
9/2 183/25 9/2 367/50 | [3e+2 +/- 31.4] + [-1.13e+3 +/- 7.80]j | [3.23e+2 +/- 0.387] + [-1.127e+3 +/- 0.366]j
9/2 367/50 9/2 184/25 | [3.3e+2 +/- 7.94] + [-1.13e+3 +/- 8.52]j | [3.27e+2 +/- 0.395] + [-1.130e+3 +/- 0.442]j
9/2 184/25 9/2 369/50 | [3.3e+2 +/- 9.34] + [-1.1e+3 +/- 41.7]j | [3.31e+2 +/- 0.393] + [-1.133e+3 +/- 0.518]j
9/2 369/50 9/2 37/5 | [3e+2 +/- 43.4] + [-1.14e+3 +/- 8.62]j | [3.35e+2 +/- 0.380] + [-1.137e+3 +/- 0.590]j
9/2 37/5 9/2 371/50 | [3.4e+2 +/- 7.42] + [-1.14e+3 +/- 7.78]j | [3.39e+2 +/- 0.356] + [-1.140e+3 +/- 0.515]j
9/2 371/50 9/2 186/25 | [3e+2 +/- 51.5] + [-1.1e+3 +/- 50.9]j | [3.43e+2 +/- 0.321] + [-1.143e+3 +/- 0.439]j
9/2 186/25 9/2 373/50 | [3.5e+2 +/- 7.85] + [-1.15e+3 +/- 9.43]j | [3.47e+2 +/- 0.275] + [-1.146e+3 +/- 0.364]j
9/2 373/50 9/2 187/25 | [3.5e+2 +/- 9.61] + [-1.15e+3 +/- 7.05]j | [3.51e+2 +/- 0.218] + [-1.149e+3 +/- 0.289]j
9/2 187/25 9/2 15/2 | [4e+2 +/- 49.8] + [-1.2e+3 +/- 53.3]j | [3.55e+2 +/- 0.150] + [-1.152e+3 +/- 0.214]j
9/2 15/2 9/2 188/25 | [3.6e+2 +/- 7.79] + [-1.2e+3 +/- 50.3]j | [3.59e+2 +/- 0.113] + [-1.155e+3 +/- 0.138]j
9/2 188/25 9/2 377/50 | [4e+2 +/- 41.6] + [-1.16e+3 +/- 7.18]j | [3.63e+2 +/- 0.202] + [-1.158e+3 +/- 0.122]j
9/2 377/50 9/2 189/25 | [3.7e+2 +/- 7.49] + [-1.16e+3 +/- 9.40]j | [3.67e+2 +/- 0.303] + [-1.161e+3 +/- 0.198]j
9/2 189/25 9/2 379/50 | [4e+2 +/- 33.4] + [-1.2e+3 +/- 41.1]j | [3.71e+2 +/- 0.415] + [-1.164e+3 +/- 0.273]j
9/2 379/50 9/2 38/5 | [3.8e+2 +/- 9.28] + [-1.17e+3 +/- 7.99]j | [3.75e+2 +/- 0.538] + [-1.167e+3 +/- 0.348]j
