# a_re a_im b_re b_im | D on the segment ball | D(a)
-1/20 39/50 -1/20 19/25 | [2e+1 +/- 8.04] + [-1e+1 +/- 8.01]j | [16.7 +/- 0.0443] + [-13.9 +/- 0.0488]j
-1/20 19/25 -1/20 37/50 | [2e+1 +/- 8.52] + [-1e+1 +/- 7.22]j | [16.0 +/- 0.0238] + [-13.3 +/- 0.0441]j
-1/20 37/50 -1/20 18/25 | [1e+1 +/- 8.88] + [-1e+1 +/- 6.49]j | [15.3 +/- 0.0428] + [-12.8 +/- 0.0274]j
-1/20 18/25 -1/20 7/10 | [1e+1 +/- 7.97] + [-1e+1 +/- 5.77]j | [14.6 +/- 0.0502] + [-12.3 +/- 0.0481]j
-1/20 7/10 -1/20 17/25 | [1e+1 +/- 7.08] + [-1e+1 +/- 5.07]j | [13.9 +/- 0.0442] + [-11.8 +/- 0.0543]j
-1/20 17/25 -1/20 33/50 | [1e+1 +/- 6.26] + [-1e+1 +/- 4.43]j | [13.2 +/- 0.0275] + [-11.3 +/- 0.0500]j
-1/20 33/50 -1/20 16/25 | [1e+1 +/- 5.40] + [-1e+1 +/- 3.76]j | [12.5 +/- 0.0350] + [-10.8 +/- 0.0356]j
-1/20 16/25 -1/20 31/50 | [1e+1 +/- 4.50] + [-1e+1 +/- 3.05]j | [11.9 +/- 0.0567] + [-10.3 +/- 0.0259]j
-1/20 31/50 -1/20 3/5 | [1e+1 +/- 3.81] + [+/- 12.6]j | [11.2 +/- 0.0315] + [-9.8 +/- 0.0647]j
-1/20 3/5 -1/20 29/50 | [1e+1 +/- 3.14] + [+/- 12.1]j | [10.6 +/- 0.0272] + [-9.4 +/- 0.0148]j
-1/20 29/50 -1/20 14/25 | [+/- 12.5] + [+/- 11.6]j | [1.0e+1 +/- 0.0413] + [-9.0 +/- 0.0480]j
-1/20 14/25 -1/20 27/50 | [+/- 11.8] + [+/- 11.1]j | [9.4 +/- 0.0397] + [-8.5 +/- 0.0549]j
-1/20 27/50 -1/20 13/25 | [+/- 11.1] + [+/- 10.6]j | [8.8 +/- 0.0216] + [-8.1 +/- 0.0422]j
-1/20 13/25 -1/20 1/2 | [+/- 10.5] + [+/- 10.1]j | [8.2 +/- 0.0393] + [-7.7 +/- 0.0393]j
-1/20 1/2 -1/20 12/25 | [+/- 9.80] + [+/- 9.53]j | [7.7 +/- 0.0318] + [-7.3 +/- 0.0470]j
-1/20 12/25 -1/20 23/50 | [+/- 9.13] + [+/- 9.01]j | [7.1 +/- 0.0601] + [-7.0 +/- 0.0534]j
-1/20 23/50 -1/20 11/25 | [+/- 8.55] + [+/- 8.57]j | [6.6 +/- 0.0485] + [-6.6 +/- 0.0229]j
-1/20 11/25 -1/20 21/50 | [+/- 7.96] + [+/- 8.10]j | [6.1 +/- 0.0554] + [-6.2 +/- 0.0391]j
-1/20 21/50 -1/20 2/5 | [+/- 7.35] + [+/- 7.62]j | [5.7 +/- 0.0376] + [-5.9 +/- 0.0300]j
-1/20 2/5 -1/20 19/50 | [+/- 6.76] + [+/- 7.14]j | [5.2 +/- 0.0270] + [-5.54 +/- 9.14e-3]j
-1/20 19/50 -1/20 9/25 | [+/- 6.25] + [+/- 6.72]j | [4.8 +/- 0.0237] + [-5.2 +/- 0.0158]j
-1/20 9/25 -1/20 17/50 | [+/- 5.75] + [+/- 6.30]j | [4.37 +/- 9.58e-3] + [-4.9 +/- 0.0230]j
-1/20 17/50 -1/20 8/25 | [+/- 5.26] + [+/- 5.88]j | [3.98 +/- 7.98e-3] + [-4.57 +/- 7.54e-3]j
-1/20 8/25 -1/20 3/10 | [+/- 4.77] + [+/- 5.45]j | [3.61 +/- 8.54e-3] + [-4.26 +/- 9.19e-3]j
-1/20 3/10 -1/20 7/25 | [+/- 4.31] + [+/- 5.03]j | [3.26 +/- 7.74e-3] + [-3.96 +/- 8.12e-3]j
-1/20 7/25 -1/20 13/50 | [+/- 3.92] + [+/- 4.67]j | [2.93 +/- 6.62e-3] + [-3.67 +/- 7.13e-3]j
-1/20 13/50 -1/20 6/25 | [+/- 3.58] + [+/- 4.34]j | [2.6 +/- 0.0302] + [-3.38 +/- 7.40e-3]j
-1/20 6/25 -1/20 11/50 | [+/- 3.23] + [+/- 3.99]j | [2.34 +/- 5.69e-3] + [-3.10 +/- 5.94e-3]j
-1/20 11/50 -1/20 1/5 | [+/- 2.88] + [+/- 3.61]j | [2.08 +/- 7.11e-3] + [-2.82 +/- 7.71e-3]j
-1/20 1/5 -1/20 9/50 | [+/- 2.56] + [+/- 3.25]j | [1.84 +/- 6.53e-3] + [-2.55 +/- 5.32e-3]j
-1/20 9/50 -1/20 4/25 | [+/- 2.30] + [-2e+0 +/- 0.927]j | [1.62 +/- 5.06e-3] + [-2.28 +/- 8.18e-3]j
-1/20 4/25 -1/20 7/50 | [+/- 2.07] + [-2e+0 +/- 0.840]j | [1.43 +/- 8.11e-3] + [-2.02 +/- 4.70e-3]j
-1/20 7/50 -1/20 3/25 | [1e+0 +/- 0.886] + [+/- 2.35]j | [1.25 +/- 7.62e-3] + [-1.76 +/- 4.16e-3]j
-1/20 3/25 -1/20 1/10 | [1e+0 +/- 0.692] + [+/- 2.03]j | [1.10 +/- 7.87e-3] + [-1.50 +/- 6.27e-3]j
-1/20 1/10 -1/20 2/25 | [+/- 1.53] + [-1e+0 +/- 0.719]j | [0.98 +/- 4.27e-3] + [-1.25 +/- 2.95e-3]j
-1/20 2/25 -1/20 3/50 | [+/- 1.40] + [+/- 1.43]j | [0.88 +/- 7.69e-3] + [-1.0 +/- 5.67e-3]j
-1/20 3/50 -1/20 1/25 | [+/- 1.28] + [+/- 1.14]j | [0.79 +/- 7.12e-3] + [-0.75 +/- 6.46e-3]j
-1/20 1/25 -1/20 1/50 | [+/- 1.13] + [+/- 0.777]j | [0.74 +/- 5.23e-3] + [-0.50 +/- 5.51e-3]j
-1/20 1/50 -1/20 0 | [+/- 0.955] + [+/- 0.385]j | [0.70 +/- 4.44e-3] + [-0.25 +/- 3.26e-3]j
