# a_re a_im b_re b_im | D on the segment ball | D(a)
-1/20 161/25 -1/20 321/50 | [6e+2 +/- 53.3] + [-2e+2 +/- 31.0]j | [575.1 +/- 0.0649] + [-195.9 +/- 0.0718]j
-1/20 321/50 -1/20 32/5 | [6e+2 +/- 56.3] + [-2e+2 +/- 31.2]j | [571.6 +/- 0.0787] + [-195.3 +/- 0.0730]j
-1/20 32/5 -1/20 319/50 | [6e+2 +/- 59.3] + [-2e+2 +/- 31.3]j | [5.68e+2 +/- 0.206] + [-194.7 +/- 0.0877]j
-1/20 319/50 -1/20 159/25 | [6e+2 +/- 62.3] + [-2e+2 +/- 31.4]j | [564.7 +/- 0.0846] + [-1.94e+2 +/- 0.203]j
-1/20 159/25 -1/20 317/50 | [6e+2 +/- 66.1] + [-2e+2 +/- 32.4]j | [561.2 +/- 0.0912] + [-1.94e+2 +/- 0.513]j
-1/20 317/50 -1/20 158/25 | [6e+2 +/- 68.6] + [-2e+2 +/- 32.0]j | [557.8 +/- 0.0762] + [-1.93e+2 +/- 0.0977]j
-1/20 158/25 -1/20 63/10 | [6e+2 +/- 72.3] + [-2e+2 +/- 32.8]j | [5.54e+2 +/- 0.421] + [-192.4 +/- 0.0830]j
-1/20 63/10 -1/20 157/25 | [5e+2 +/- 73.4] + [-2e+2 +/- 32.6]j | [5.51e+2 +/- 0.125] + [-191.8 +/- 0.0698]j
-1/20 157/25 -1/20 313/50 | [5e+2 +/- 70.1] + [-2e+2 +/- 33.4]j | [5.48e+2 +/- 0.532] + [-191.2 +/- 0.0745]j
-1/20 313/50 -1/20 156/25 | [5e+2 +/- 66.4] + [-2e+2 +/- 33.6]j | [5.44e+2 +/- 0.200] + [-190.6 +/- 0.0880]j
-1/20 156/25 -1/20 311/50 | [5e+2 +/- 63.0] + [-2e+2 +/- 34.2]j | [5.41e+2 +/- 0.313] + [-1.90e+2 +/- 0.102]j
-1/20 311/50 -1/20 31/5 | [5e+2 +/- 59.6] + [-2e+2 +/- 34.7]j | [537.4 +/- 0.0861] + [-1.89e+2 +/- 0.516]j
-1/20 31/5 -1/20 309/50 | [5e+2 +/- 56.1] + [-2e+2 +/- 35.2]j | [534.0 +/- 0.0773] + [-1.89e+2 +/- 0.199]j
-1/20 309/50 -1/20 154/25 | [5e+2 +/- 52.5] + [-2e+2 +/- 35.5]j | [5.31e+2 +/- 0.402] + [-188.3 +/- 0.0853]j
-1/20 154/25 -1/20 307/50 | [5e+2 +/- 49.1] + [-2e+2 +/- 36.1]j | [527.3 +/- 0.0853] + [-187.7 +/- 0.0719]j
-1/20 307/50 -1/20 153/25 | [5e+2 +/- 45.9] + [-2e+2 +/- 36.8]j | [524.0 +/- 0.0716] + [-187.1 +/- 0.0705]j
-1/20 153/25 -1/20 61/10 | [5e+2 +/- 42.4] + [-2e+2 +/- 37.1]j | [520.7 +/- 0.0899] + [-186.5 +/- 0.0836]j
-1/20 61/10 -1/20 152/25 | [5e+2 +/- 38.9] + [-2e+2 +/- 37.6]j | [5.17e+2 +/- 0.429] + [-1.86e+2 +/- 0.131]j
-1/20 152/25 -1/20 303/50 | [5e+2 +/- 35.4] + [-2e+2 +/- 37.9]j | [5.14e+2 +/- 0.133] + [-1.85e+2 +/- 0.411]j
-1/20 303/50 -1/20 151/25 | [5e+2 +/- 32.1] + [-2e+2 +/- 38.5]j | [510.8 +/- 0.0793] + [-1.85e+2 +/- 0.304]j
-1/20 151/25 -1/20 301/50 | [5e+2 +/- 28.6] + [-2e+2 +/- 38.9]j | [507.5 +/- 0.0711] + [-184.2 +/- 0.0899]j
-1/20 301/50 -1/20 6 | [5e+2 +/- 25.5] + [-2e+2 +/- 39.6]j | [5.04e+2 +/- 0.308] + [-183.6 +/- 0.0771]j
-1/20 6 -1/20 299/50 | [5e+2 +/- 19.2] + [-2e+2 +/- 35.8]j | [501.0 +/- 0.0683] + [-183.0 +/- 0.0637]j
-1/20 299/50 -1/20 149/25 | [5e+2 +/- 22.4] + [-2e+2 +/- 36.4]j | [4.98e+2 +/- 0.310] + [-182.4 +/- 0.0740]j
-1/20 149/25 -1/20 297/50 | [5e+2 +/- 29.9] + [-2e+2 +/- 41.3]j | [494.5 +/- 0.0840] + [-181.8 +/- 0.0869]j
-1/20 297/50 -1/20 148/25 | [5e+2 +/- 28.6] + [-2e+2 +/- 37.3]j | [491.3 +/- 0.0650] + [-1.81e+2 +/- 0.300]j
-1/20 148/25 -1/20 59/10 | [5e+2 +/- 31.7] + [-2e+2 +/- 37.8]j | [488.1 +/- 0.0670] + [-1.81e+2 +/- 0.414]j
-1/20 59/10 -1/20 147/25 | [5e+2 +/- 34.7] + [-2e+2 +/- 38.3]j | [484.9 +/- 0.0640] + [-1.80e+2 +/- 0.125]j
-1/20 147/25 -1/20 293/50 | [5e+2 +/- 40.3] + [-2e+2 +/- 41.3]j | [481.7 +/- 0.0741] + [-179.5 +/- 0.0883]j
-1/20 293/50 -1/20 146/25 | [5e+2 +/- 40.9] + [-2e+2 +/- 39.3]j | [4.79e+2 +/- 0.524] + [-178.9 +/- 0.0756]j
-1/20 146/25 -1/20 291/50 | [5e+2 +/- 43.9] + [-2e+2 +/- 39.7]j | [475.4 +/- 0.0869] + [-178.3 +/- 0.0634]j
-1/20 291/50 -1/20 29/5 | [5e+2 +/- 50.0] + [-2e+2 +/- 43.3]j | [472.2 +/- 0.0821] + [-177.7 +/- 0.0715]j
